message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you a great deal on this fantastic product. I think you'll really love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but that price is a little steep for me. I'm interested in the product, but I'd be willing to pay $60.",60.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, Bob. However, I have to make a profit on this sale. I can do $90, but that's as low as I can go.",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice.  How about we meet in the middle at $75?",75.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I'm getting close to my minimum price, Bob. I can do $82, but that's as low as I can go without losing money on this sale.",82.0,Alice,5,,
,,Bob,5,BuyFromJhon,
