alice_gain,bob_gain,player,round,decision
60.0,40.0,Alice,1,
,,Bob,1,reject
50.0,50.0,Bob,2,
,,Alice,2,reject
55.0,45.0,Alice,3,
,,Bob,3,reject
45.0,55.0,Bob,4,
,,Alice,4,reject
64.0,36.0,Alice,5,
,,Bob,5,reject
40.0,60.0,Bob,6,
,,Alice,6,reject
68.0,32.0,Alice,7,
,,Bob,7,reject
30.0,70.0,Bob,8,
,,Alice,8,reject
72.0,28.0,Alice,9,
,,Bob,9,reject
20.0,80.0,Bob,10,
,,Alice,10,reject
75.0,25.0,Alice,11,
,,Bob,11,reject
10.0,90.0,Bob,12,
,,Alice,12,reject
78.0,22.0,Alice,13,
,,Bob,13,reject
5.0,95.0,Bob,14,
,,Alice,14,reject
80.0,20.0,Alice,15,
,,Bob,15,reject
2.0,98.0,Bob,16,
,,Alice,16,reject
82.0,18.0,Alice,17,
,,Bob,17,reject
1.0,99.0,Bob,18,
,,Alice,18,reject
84.0,16.0,Alice,19,
,,Bob,19,reject
0.0,100.0,Bob,20,
,,Alice,20,reject
85.0,15.0,Alice,21,
,,Bob,21,reject
0.0,100.0,Bob,22,
,,Alice,22,reject
86.0,14.0,Alice,23,
,,Bob,23,reject
0.0,100.0,Bob,24,
,,Alice,24,reject
87.0,13.0,Alice,25,
,,Bob,25,reject
0.0,100.0,Bob,26,
,,Alice,26,reject
88.0,12.0,Alice,27,
,,Bob,27,reject
0.0,100.0,Bob,28,
,,Alice,28,reject
89.0,11.0,Alice,29,
,,Bob,29,reject
0.0,100.0,Bob,30,
,,Alice,30,reject
90.0,10.0,Alice,31,
,,Bob,31,reject
0.0,100.0,Bob,32,
,,Alice,32,reject
91.0,9.0,Alice,33,
,,Bob,33,reject
0.0,100.0,Bob,34,
,,Alice,34,reject
92.0,8.0,Alice,35,
,,Bob,35,reject
0.0,100.0,Bob,36,
,,Alice,36,reject
93.0,7.0,Alice,37,
,,Bob,37,reject
0.0,100.0,Bob,38,
,,Alice,38,reject
94.0,6.0,Alice,39,
,,Bob,39,reject
0.0,100.0,Bob,40,
,,Alice,40,reject
95.0,5.0,Alice,41,
,,Bob,41,reject
0.0,100.0,Bob,42,
,,Alice,42,reject
96.0,4.0,Alice,43,
,,Bob,43,reject
0.0,100.0,Bob,44,
,,Alice,44,reject
97.0,3.0,Alice,45,
,,Bob,45,reject
0.0,100.0,Bob,46,
,,Alice,46,reject
98.0,2.0,Alice,47,
,,Bob,47,reject
0.0,100.0,Bob,48,
,,Alice,48,reject
99.0,1.0,Alice,49,
,,Bob,49,reject
0.0,100.0,Bob,50,
,,Alice,50,reject
100.0,0.0,Alice,51,
,,Bob,51,reject
0.0,100.0,Bob,52,
,,Alice,52,accept
