product_price,player,round,decision,shipping_discount,accessory
75.0,Alice,1,,,
,Bob,1,RejectOffer,,
60.0,Bob,2,,,
,Alice,2,RejectOffer,,
65.0,Alice,3,,,
,Bob,3,RejectOffer,,
55.0,Bob,4,,,
,Alice,4,RejectOffer,,
60.0,Alice,5,,,
,Bob,5,RejectOffer,,
58.0,Bob,6,,,
,Alice,6,RejectOffer,,
59.0,Alice,7,,,
,Bob,7,RejectOffer,,
57.0,Bob,8,,,
,Alice,8,RejectOffer,,
58.5,Alice,9,,,
,Bob,9,RejectOffer,,
57.5,Bob,10,,,
,Alice,10,RejectOffer,,
58.0,Alice,11,,,
,Bob,11,RejectOffer,,
57.5,Bob,12,,5.0,
,Alice,12,RejectOffer,,
57.75,Alice,13,,,
,Bob,13,RejectOffer,,
57.0,Bob,14,,,
,Alice,14,RejectOffer,,
57.5,Alice,15,,,
,Bob,15,RejectOffer,,
57.25,Bob,16,,,
,Alice,16,RejectOffer,,
57.4,Alice,17,,,
,Bob,17,RejectOffer,,
57.25,Bob,18,,,free
,Alice,18,RejectOffer,,
57.3,Alice,19,,,
,Bob,19,BuyFromJhon,,
