message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this fantastic product. I think it's worth a lot, but to give you a great deal, I'm willing to sell it for $120. What do you think?",120.0,Alice,1,,
,,Bob,1,RejectOffer,90.0
I'm still a bit higher than that,95.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, I appreciate your interest.  While $95 is closer to what I had in mind, I'm still looking for a bit more. Would you be willing to meet me halfway at $107?",107.0,Alice,3,,
,,Bob,3,RejectOffer,102.0
"I'm getting close, but I can do better",98.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, thanks for sticking with this negotiation. It seems we're both serious about making a deal.  How about we split the difference and settle at $102?",102.0,Alice,5,,
,,Bob,5,RejectOffer,99.0
I'm almost there,100.0,Bob,6,,
,,Alice,6,AcceptOffer,
