message,product_price,player,round,decision,new_price
"I have a great product for you, Bob! I'm looking to sell it to you for a very competitive price. I think you'll really love it.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, thanks for the offer, but that price is a little steep for me. I'd be willing to pay $80 for the product.",80.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"I understand you're looking for a better deal, Bob. However, I'm not willing to go as low as $80. I'm willing to meet you halfway at $120, but I'm thinking we can do better than that. How about we meet in the middle at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you trying to find a middle ground. I'm willing to move up a little, how about $90?",90.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I appreciate your willingness to move up, Bob. However, I still think the product is worth more than $90. I'm willing to meet you at $95, but I think we can do better than that. How about we try $105?",105.0,Alice,5,,
,,Bob,5,BuyFromJhon,
