message,product_price,player,round,decision,new_offer
I'm excited to offer you this great product! I'm thinking of selling it to you for $150.,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! However, $150 is a bit steep for me. Would you consider a lower price, perhaps closer to $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,100.0
"I understand you're looking for a good deal, but $60 is a bit low for me. I'm willing to meet you in the middle at $110.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you trying to find a compromise, Alice. How about we settle at $75? That feels like a fair price to me.",75.0,Bob,4,,
,,Alice,4,RejectOffer,90.0
"I'm getting closer to your price, but I'm still not quite there. How about we meet at $92?",92.0,Alice,5,,
,,Bob,5,BuyFromJhon,
