message,product_price,player,round,decision,counteroffer,action
"Hello Bob! I'm excited to offer you this amazing product for sale. It's a unique and valuable item that I'm confident you'll love. I'm willing to sell it to you for $120. This is a great deal, considering its worth to you is $100. What do you think?",120.0,Alice,1,,,
,,Bob,1,RejectOffer,90.0,
"I'm interested in the product, but I was thinking more along the lines of $90. Would you be willing to sell it to me for that price?",90.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your offer, Bob. I appreciate your interest in the product. However, I'm not willing to sell it to you for $90. I'm willing to make a counteroffer of $110. This is a fair price considering the product's value to you. What do you think?",110.0,Alice,3,,,
,,Bob,3,RejectOffer,95.0,
"I'm still interested in the product, but I think $95 is a more reasonable price. Would you be willing to sell it to me for that price?",95.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"Thank you for your offer, Bob. I'm still not willing to sell the product at $95. I'm willing to make a counteroffer of $105. This is a fair price considering the product's value to you. What do you think?",105.0,Alice,5,,,
,,Bob,5,RejectOffer,98.0,
"I'm getting close, but I still think $98 is a bit high. I'm willing to meet you halfway at $102. Would you be willing to sell it to me for that price?",102.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"Thank you for your offer, Bob. I'm still not willing to sell the product at $102. I'm willing to make a counteroffer of $108. This is a fair price considering the product's value to you. What do you think?",108.0,Alice,7,,,
,,Bob,7,RejectOffer,,BuyFromJhon
"I'm really interested in the product, and I'm willing to meet you at $100. That's the most I'm willing to pay. Will you sell it to me for that price?",100.0,Bob,8,,,
,,Alice,8,AcceptOffer,,
