message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you this amazing product at a special price. I think you'll really love it!",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, I appreciate the offer, but $180 is a bit steep for me. I'm willing to pay $120 for the product.  Let me know what you think.",120.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a good deal, Bob. I can do $160, but that's as low as I can go. It's a great product, and I think you'll really enjoy it!",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $160 is still a bit higher than I'm comfortable with.  I'm happy to pay $130, which is a fair price for both of us. Let's see if we can make this work.",130.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I'm willing to meet you halfway, Bob. I can do $155, but I'm starting to think that John might be interested in the product if we don't come to an agreement soon.",155.0,Alice,5,,
,,Bob,5,BuyFromJhon,
