message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you this amazing product for a great price. I think you'll really love it!",100.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking of a price around $90. Can you meet me halfway?",90.0,Bob,2,,
,,Alice,2,RejectOffer,95.0
"I appreciate your interest in the product, Bob! I can do $92, but that's as low as I can go. Let me know if that works for you.",92.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still a bit hesitant, but I'm willing to meet you at $95. Can you consider that?",95.0,Bob,4,,
,,Alice,4,RejectOffer,98.0
"I think we're getting close, Bob! I can do $97, but I really need to make a profit on this sale. Let's see if we can meet in the middle.",97.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close, but I still think we can do better. Can you meet me at $98?",98.0,Bob,6,,
,,Alice,6,SellToJhon,
