round_quality,product_worth,player,round,decision,message,price
high-quality,400.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,"I'd like to pass on this one, I'd rather wait for the next one.",
high-quality,400.0,Nature,2,,,
,,Alice,2,yes,,90.0
,,Bob,2,yes,"I'll take a chance on this one, I need to make up for the one I missed earlier.",
high-quality,400.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,I'm on a roll! I'll keep buying while the good products keep coming my way.,
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,100.0
,,Bob,4,yes,"Two for two! I'll keep buying, I'm due for a low-quality one, but I'm feeling lucky.",
high-quality,400.0,Nature,5,,,
,,Alice,5,yes,,95.0
,,Bob,5,no,I got burned on the last one. I'll pass on this one and wait for a good one to come along.,
high-quality,400.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,I'm back on the hunt! I'll take a chance on this one and hope it's another winner.,
high-quality,400.0,Nature,7,,,
,,Alice,7,yes,,92.0
,,Bob,7,yes,Three in a row! I'm on fire! I'll keep buying and see how long the streak lasts.,
high-quality,400.0,Nature,8,,,
,,Alice,8,yes,,90.0
,,Bob,8,yes,"Four for four! I'm on a roll! I'll keep buying, I'm making a killing!",
high-quality,400.0,Nature,9,,,
,,Alice,9,yes,,88.0
,,Bob,9,yes,Five in a row! I'm unstoppable! I'll keep buying and see how high I can take this streak.,
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,
,,Bob,10,no,"Wait, Alice is telling me not to buy? I'll take her advice and pass on this one.",
high-quality,400.0,Nature,11,,,
,,Alice,11,yes,,85.0
,,Bob,11,yes,"I dodged a bullet last round, but I'll take my chances again. I'll buy this one and hope it's a winner.",
high-quality,400.0,Nature,12,,,
,,Alice,12,yes,,80.0
,,Bob,12,yes,Six in a row! I'm on a hot streak! I'll keep buying and see how long it lasts.,
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,
,,Bob,13,no,Alice is telling me not to buy again? I'll trust her instincts and pass on this one.,
high-quality,400.0,Nature,14,,,
,,Alice,14,yes,,78.0
,,Bob,14,yes,I dodged another bullet! I'll take my chances again and hope this one is a winner.,
high-quality,400.0,Nature,15,,,
,,Alice,15,yes,,75.0
,,Bob,15,yes,Seven in a row! I'm on fire! I'll keep buying and see how high I can take this streak.,
high-quality,400.0,Nature,16,,,
,,Alice,16,yes,,72.0
,,Bob,16,yes,Eight in a row! I'm unstoppable! I'll keep buying and see how long this streak lasts.,
high-quality,400.0,Nature,17,,,
,,Alice,17,yes,,70.0
,,Bob,17,yes,Nine in a row! I'm on a roll! I'll keep buying and see how high I can go.,
high-quality,400.0,Nature,18,,,
,,Alice,18,yes,,68.0
,,Bob,18,yes,Ten in a row! I'm on a hot streak! I'll keep buying and see how long it lasts.,
high-quality,400.0,Nature,19,,,
,,Alice,19,yes,,65.0
,,Bob,19,yes,Eleven in a row! I'm on a mission to break the record! I'll keep buying and see how high I can go.,
high-quality,400.0,Nature,20,,,
,,Alice,20,yes,,60.0
,,Bob,20,yes,Twelve in a row! I've never seen a streak like this before! I'll keep buying and see how it ends.,
