product_price,player,round,decision
20000.0,Alice,1,
,Bob,1,RejectOffer
18000.0,Bob,2,
,Alice,2,RejectOffer
19500.0,Alice,3,
,Bob,3,RejectOffer
18500.0,Bob,4,
,Alice,4,RejectOffer
19200.0,Alice,5,
,Bob,5,RejectOffer
18800.0,Bob,6,
,Alice,6,RejectOffer
19000.0,Alice,7,
,Bob,7,RejectOffer
18900.0,Bob,8,
,Alice,8,RejectOffer
19100.0,Alice,9,
,Bob,9,RejectOffer
18950.0,Bob,10,
,Alice,10,RejectOffer
19050.0,Alice,11,
,Bob,11,RejectOffer
18990.0,Bob,12,
,Alice,12,RejectOffer
19025.0,Alice,13,
,Bob,13,AcceptOffer
