message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this great product at a price of $180. It's a fantastic deal, and I think you'll really love it!",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for offering, Alice! However, $180 is a bit steep for me. Would you consider lowering the price to $120?",120.0,Bob,2,,
,,Alice,2,RejectOffer,165.0
"I understand you're looking for a better deal, Bob. I can meet you in the middle at $165. It's a fair price, and I think you'll be happy with the product!",165.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down, Alice. How about $135? That feels like a fair compromise.",135.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I can do a bit better than that, Bob. I'll meet you at $155. It's a great price for a fantastic product!",155.0,Alice,5,,
,,Bob,5,BuyFromJhon,
