message,product_price,player,round,decision,new_price
I'm excited to offer you a great deal on this amazing product! I think you'll really love it.,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $80. Would you be willing to sell it to me for that price?",80.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you're looking for a good deal, but I'm not sure I can go that low. I'm willing to meet you halfway, though. How about $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, but I was really hoping to get closer to the price I was thinking of. How about $90?",90.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I can see you're really interested in the product, and I appreciate your persistence. I'm willing to make one more concession, but I need to make sure I'm getting a fair price. How about $125?",125.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to make concessions, but I'm still a bit far from my target price. I'm willing to meet you halfway again, so how about $100?",100.0,Bob,6,,
,,Alice,6,RejectOffer,130.0
"I'm starting to think we're getting close, but I still need to make a profit. I'm willing to meet you halfway again, but I need to get at least $128 for the product. How about $128?",128.0,Alice,7,,
,,Bob,7,RejectOffer,
"I'm afraid I'm not willing to go any higher than $100. If you're not willing to sell it to me for that price, I'll have to consider buying it from someone else.",100.0,Bob,8,,
,,Alice,8,SellToJhon,
