message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this fantastic product. I think you'll really love it! I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm really interested in the product, but I was thinking more along the lines of $90. Can we meet in the middle?",90.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a good deal, but I'm not sure I can go as low as $90. I'm willing to meet you halfway, but I need to make a profit. How about we compromise at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to compromise, but I'm still a bit above $90. How about we try $100?",100.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I see you're getting close to my minimum, but I still need to make a profit. I'm willing to give you a slight discount, but I need to get at least $125 for the product. Can you meet me there?",125.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm not sure I can meet you at $125. How about we try $110 again? I'm willing to make a serious offer, but I need to stay within my budget.",110.0,Bob,6,,
,,Alice,6,SellToJhon,
