message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested, but that price is a little high for me. Could you do $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a good deal, Bob. I can do $125, but that's as low as I can go. It's a great product, and I think you'll really enjoy it!",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate that, Alice.  How about we split the difference and do $112.50?",112.5,Bob,4,,
,,Alice,4,RejectOffer,
"I appreciate your willingness to meet in the middle, Bob. However, I'm not quite ready to accept that price. I can do $127.50, but that's my final offer",127.5,Alice,5,,
,,Bob,5,AcceptOffer,
