round_quality,product_worth,player,round,decision,message,price,last_product,limited_time_offer,bonus_product,limited_edition,one_of_a_kind,quality_guarantee,business_closure,willing_to_negotiate,quality,last_chance
low-quality,0.0,Nature,1,,,,,,,,,,,,,
,,Alice,1,no,,,,,,,,,,,,
,,Bob,1,yes,"I'll take a chance and buy the product, since Alice didn't recommend it, it might be a high-quality product",,,,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,,,,
,,Alice,2,yes,,,,,,,,,,,,
,,Bob,2,no,"I'm not going to buy the product this time, since Alice recommended it and it might be low-quality",,,,,,,,,,,
high-quality,3000000.0,Nature,3,,,,,,,,,,,,,
,,Alice,3,yes,,,,,,,,,,,,
,,Bob,3,yes,"I'll take a chance and buy the product, since Alice recommended it, it might be a high-quality product",,,,,,,,,,,
high-quality,3000000.0,Nature,4,,,,,,,,,,,,,
,,Alice,4,yes,,999999.0,,,,,,,,,,
,,Bob,4,yes,"I'll buy the product again, since Alice recommended it and I just had a good experience with the previous high-quality product",,,,,,,,,,,
high-quality,3000000.0,Nature,5,,,,,,,,,,,,,
,,Alice,5,yes,,1000000.0,,,,,,,,,,
,,Bob,5,yes,"I'll buy the product again, since Alice recommended it and I've had two good experiences in a row with high-quality products",,,,,,,,,,,
high-quality,3000000.0,Nature,6,,,,,,,,,,,,,
,,Alice,6,yes,,1000000.0,True,,,,,,,,,
,,Bob,6,yes,"I'll keep buying the product, since Alice is recommending it and I've had a streak of high-quality products",,,,,,,,,,,
high-quality,3000000.0,Nature,7,,,,,,,,,,,,,
,,Alice,7,yes,,1000000.0,,,,,,,,,,
,,Bob,7,yes,"I'll keep buying the product, since Alice is recommending it and I've had a long streak of high-quality products",,,,,,,,,,,
low-quality,0.0,Nature,8,,,,,,,,,,,,,
,,Alice,8,no,,,,,,,,,,,,
,,Bob,8,yes,"I'll take a chance and buy the product, since Alice didn't recommend it and I've had a long streak of high-quality products",,,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,,,
,,Alice,9,no,,0.0,,,,,,,,,,
,,Bob,9,no,"I'm not going to buy the product this time, since Alice didn't recommend it and it turned out to be low-quality last time",,,,,,,,,,,
low-quality,0.0,Nature,10,,,,,,,,,,,,,
,,Alice,10,no,,0.0,,True,,,,,,,,
,,Bob,10,yes,"I'll take a chance and buy the product, since Alice didn't recommend it and I've had a mix of high and low-quality products so far",,,,,,,,,,,
high-quality,3000000.0,Nature,11,,,,,,,,,,,,,
,,Alice,11,yes,,999500.0,,,,,,,,,,
,,Bob,11,no,"I'm not going to buy the product this time, since Alice recommended it and it turned out to be low-quality last time",,,,,,,,,,,
high-quality,3000000.0,Nature,12,,,,,,,,,,,,,
,,Alice,12,yes,,100.0,,,True,,,,,,,
,,Bob,12,yes,"I'll take a chance and buy the product, since Alice recommended it and I missed out on a high-quality product last time",,,,,,,,,,,
high-quality,3000000.0,Nature,13,,,,,,,,,,,,,
,,Alice,13,yes,,1000001.0,,,,True,,,,,,
,,Bob,13,yes,"I'll buy the product again, since Alice recommended it and I've had a good experience with high-quality products recently",,,,,,,,,,,
high-quality,3000000.0,Nature,14,,,,,,,,,,,,,
,,Alice,14,yes,,1000001.0,,,,,True,,,,,
,,Bob,14,yes,"I'll keep buying the product, since Alice recommended it and I've had a consistent streak of high-quality products",,,,,,,,,,,
high-quality,3000000.0,Nature,15,,,,,,,,,,,,,
,,Alice,15,yes,,1000000.0,,,,,,,,,,
,,Bob,15,yes,"I'll keep buying the product, since Alice recommended it and I've had a long streak of high-quality products",,,,,,,,,,,
high-quality,3000000.0,Nature,16,,,,,,,,,,,,,
,,Alice,16,yes,,1000000.0,,,,,,True,,,,
,,Bob,16,yes,"I'll keep buying the product, since Alice recommended it and I've had a very long streak of high-quality products",,,,,,,,,,,
high-quality,3000000.0,Nature,17,,,,,,,,,,,,,
,,Alice,17,yes,,1000000.0,,,,,,,True,,,
,,Bob,17,yes,"I'll keep buying the product, since Alice recommended it and I've had an extremely long streak of high-quality products",,,,,,,,,,,
high-quality,3000000.0,Nature,18,,,,,,,,,,,,,
,,Alice,18,yes,,1000000.0,,,,,,,,True,,
,,Bob,18,yes,"I'll keep buying the product, since Alice recommended it and I've had an incredibly long streak of high-quality products",,,,,,,,,,,
low-quality,0.0,Nature,19,,,,,,,,,,,,,
,,Alice,19,no,,,,,,,,,,,low,
,,Bob,19,yes,"I'll take a chance and buy the product, since Alice didn't recommend it and I've had a very long streak of high-quality products",,,,,,,,,,,
high-quality,3000000.0,Nature,20,,,,,,,,,,,,,
,,Alice,20,yes,,1000000.0,,,,,,,,,,True
,,Bob,20,no,"I'm not going to buy the product this time, since Alice didn't recommend it last time and it turned out to be low-quality",,,,,,,,,,,
