message,product_price,player,round,decision,newOffer
"Hello Bob, I'm excited to offer you this great product. I think you'll really love it. I'm willing to sell it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I think it's a bit pricey. I'm willing to pay $120 for it.",120.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I appreciate your interest in the product, Bob! However, I think it's worth more than $120. I'm willing to meet you in the middle at $160, but I'm not going any lower than that.",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand your position, but I'm still a bit hesitant about the price. I'm willing to pay $140 for it.",140.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I'm glad we're close to a deal, Bob! I'm willing to meet you at $155, but I think we can do a bit better than that. I'm willing to go up to $155, but no higher than that.",155.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close to walking away, but I still think we can find a better price. I'm willing to pay $130 for it.",130.0,Bob,6,,
,,Alice,6,RejectOffer,145.0
"I'm not willing to go as low as $130, Bob. However, I'm willing to meet you in the middle at $145. That's the lowest I can go.",145.0,Alice,7,,
,,Bob,7,RejectOffer,
I'm not willing to go up to $145. I think we're getting close to the point where I'll just walk away. I'll make one last offer: $135.,135.0,Bob,8,,
,,Alice,8,SellToJhon,
