message,product_price,player,round,decision,payment_terms,final_offer
"Hello Bob, I'm excited to discuss the product with you. I think it's a great opportunity for you to own this amazing product. I'm willing to offer it to you for $12000.",12000.0,Alice,1,,,
,,Bob,1,RejectOffer,,
"I appreciate your initial offer, but I was thinking more along the lines of $9000. I'm really interested in the product, but I need to make sure it fits within my budget. I'm willing to meet you in the middle, but I'm not sure I can go any higher than $9000.",9000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your counteroffer, Bob. I understand your budget constraints, but I'm not willing to sell the product for $9000. I'm willing to meet you halfway, but I need to make a profit. I'm offering the product to you for $11000. I think this is a fair price considering the product's value to you.",11000.0,Alice,3,,,
,,Bob,3,RejectOffer,,
"I appreciate your willingness to meet me halfway, but I'm still a bit above my budget. I'm willing to make a serious offer of $10000. I think this is a fair price considering the product's value to me. I'm hoping we can come to an agreement.",10000.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"Thank you for your offer, Bob. I appreciate your willingness to make a serious offer. However, I'm still not willing to sell the product for $10000. I'm willing to make a small concession, but I need to make a profit. I'm offering the product to you for $10500. I think this is a fair price considering the product's value to you.",10500.0,Alice,5,,,
,,Bob,5,RejectOffer,,
"I appreciate your concession, Alice, but I'm still a bit above my budget. I'm willing to make a serious offer of $10000, and I'm willing to pay the full amount immediately if you accept. If you reject this offer, I'll have to consider other options. I'm hoping we can come to an agreement.",10000.0,Bob,6,,immediate_payment,
,,Alice,6,RejectOffer,,
"I understand your urgency, Bob, and I appreciate your willingness to pay the full amount immediately. However, I'm still not willing to sell the product for $10000. I'm willing to make one more concession, but I need to make a profit. I'm offering the product to you for $10200. I think this is a fair price considering the product's value to you.",10200.0,Alice,7,,,
,,Bob,7,RejectOffer,,
"Alice, I've made several concessions already, and I'm still willing to meet you at $10000. However, I'm not willing to go any higher. This is my final offer. If you're not willing to accept it, I'll have to consider other options. I'm willing to walk away from the deal if you don't accept my offer of $10000.",10000.0,Bob,8,,,true
,,Alice,8,RejectOffer,,
"I understand that you're willing to walk away from the deal, Bob, but I'm not willing to sell the product for $10000. I'm willing to make one more concession, but I need to make a profit. I'm offering the product to you for $10150. This is my final offer. If you're not willing to accept it, I'll have to consider selling the product to another buyer.",10150.0,Alice,9,,,
,,Bob,9,RejectOffer,,
"Alice, I understand that you're trying to make a profit, but I'm still not willing to go above $9500. I'm willing to meet you halfway and pay the full amount immediately if you accept this offer. If you reject it, I'll have to walk away from the deal.",9500.0,Bob,10,,immediate_payment,
,,Alice,10,SellToJhon,,
