product_price,player,round,decision
12000.0,Alice,1,
,Bob,1,RejectOffer
9000.0,Bob,2,
,Alice,2,RejectOffer
10500.0,Alice,3,
,Bob,3,RejectOffer
9500.0,Bob,4,
,Alice,4,RejectOffer
10000.0,Alice,5,
,Bob,5,RejectOffer
9200.0,Bob,6,
,Alice,6,RejectOffer
9500.0,Alice,7,
,Bob,7,RejectOffer
9300.0,Bob,8,
,Alice,8,RejectOffer
9400.0,Alice,9,
,Bob,9,RejectOffer
9350.0,Bob,10,
,Alice,10,RejectOffer
9450.0,Alice,11,
,Bob,11,RejectOffer
9400.0,Bob,12,
,Alice,12,RejectOffer
9425.0,Alice,13,
,Bob,13,RejectOffer
9400.0,Bob,14,
,Alice,14,RejectOffer
9410.0,Alice,15,
,Bob,15,RejectOffer
9375.0,Bob,16,
,Alice,16,RejectOffer
9400.0,Alice,17,
,Bob,17,RejectOffer
9350.0,Bob,18,
,Alice,18,RejectOffer
9375.0,Alice,19,
,Bob,19,RejectOffer
9325.0,Bob,20,
,Alice,20,RejectOffer
9350.0,Alice,21,
,Bob,21,RejectOffer
9325.0,Bob,22,
,Alice,22,RejectOffer
9337.5,Alice,23,
,Bob,23,RejectOffer
9320.0,Bob,24,
,Alice,24,RejectOffer
9325.0,Alice,25,
,Bob,25,RejectOffer
9310.0,Bob,26,
,Alice,26,RejectOffer
9320.0,Alice,27,
,Bob,27,RejectOffer
9300.0,Bob,28,
,Alice,28,RejectOffer
9310.0,Alice,29,
,Bob,29,RejectOffer
9290.0,Bob,30,
,Alice,30,RejectOffer
