message,product_price,player,round,decision,new_price
"Hi Bob, I have a great product that I think you'll love. Would you like to make an offer on it?",100.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer but that's a bit too high for me. Would you consider $85?",85.0,Bob,2,,
,,Alice,2,RejectOffer,95.0
"I appreciate your offer, Bob, but I'm not sure I can go as low as $85. I'm willing to meet you in the middle at $92.50",92.5,Alice,3,,
,,Bob,3,RejectOffer,
"I understand, Alice. How about we split the difference and settle at $88?",88.0,Bob,4,,
,,Alice,4,RejectOffer,90.0
"I'm getting close to your price, Bob, but I need a bit more to make it worth my while. How about we try $90.50?",90.5,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate you working with me on the price. I'm willing to go up a little bit, but $90 is the absolute highest I can go.",90.0,Bob,6,,
,,Alice,6,RejectOffer,92.0
"I'm getting a bit concerned that we're running out of time, Bob. I'm willing to meet you at $92, but that's as low as I can go. If we can't agree on that, I'll have to consider other options",92.0,Alice,7,,
,,Bob,7,BuyFromJhon,
