message,product_price,player,round,decision,newOffer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll love it! I'm willing to sell it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $120. Would you be willing to meet me halfway?",120.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I appreciate your interest in the product, Bob. However, I'm not comfortable going as low as $120. I'm willing to meet you halfway from my original offer, so I can offer you the product for $165.",165.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, but I'm still a bit above my budget. Would you be willing to go down to $140?",140.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I'm glad we're close, Bob. I'm willing to make a slight adjustment to my previous offer. I can sell the product to you for $155, which is just $5 above your latest offer. Let me know if that works for you.",155.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close, but I'm still a bit above my budget. Would you be willing to go down to $145?",145.0,Bob,6,,
,,Alice,6,RejectOffer,152.0
"I'm getting close to my minimum price, Bob. I'm willing to make one more adjustment. I can sell the product to you for $152, which is just $3 above your latest offer. Let me know if that works for you.",152.0,Alice,7,,
,,Bob,7,RejectOffer,
"I'm really close, but I'm still not comfortable going above $150. Would you be willing to meet me at $150?",150.0,Bob,8,,
,,Alice,8,SellToJhon,
