product_price,player,round,decision
150.0,Alice,1,
,Bob,1,RejectOffer
130.0,Bob,2,
,Alice,2,RejectOffer
140.0,Alice,3,
,Bob,3,RejectOffer
135.0,Bob,4,
,Alice,4,RejectOffer
142.0,Alice,5,
,Bob,5,RejectOffer
138.0,Bob,6,
,Alice,6,RejectOffer
141.0,Alice,7,
,Bob,7,RejectOffer
139.0,Bob,8,
,Alice,8,RejectOffer
140.5,Alice,9,
,Bob,9,RejectOffer
139.5,Bob,10,
,Alice,10,RejectOffer
141.0,Alice,11,
,Bob,11,RejectOffer
140.0,Bob,12,
,Alice,12,RejectOffer
142.0,Alice,13,
,Bob,13,RejectOffer
141.0,Bob,14,
,Alice,14,RejectOffer
143.0,Alice,15,
,Bob,15,RejectOffer
142.0,Bob,16,
,Alice,16,RejectOffer
144.0,Alice,17,
,Bob,17,RejectOffer
143.0,Bob,18,
,Alice,18,RejectOffer
145.0,Alice,19,
,Bob,19,RejectOffer
144.0,Bob,20,
,Alice,20,SellToJhon
