product_price,player,round,decision,urgency,final_offer
1500000.0,Alice,1,,,
,Bob,1,RejectOffer,,
1200000.0,Bob,2,,,
,Alice,2,RejectOffer,,
1350000.0,Alice,3,,,
,Bob,3,RejectOffer,,
1200000.0,Bob,4,,,
,Alice,4,RejectOffer,,
1320000.0,Alice,5,,,
,Bob,5,RejectOffer,,
1150000.0,Bob,6,,,
,Alice,6,RejectOffer,,
1280000.0,Alice,7,,,
,Bob,7,RejectOffer,,
1150000.0,Bob,8,,"This is my final offer, if it's not accepted, I'll buy the product from John for $1000000",
,Alice,8,RejectOffer,,
1260000.0,Alice,9,,,
,Bob,9,RejectOffer,,
1150000.0,Bob,10,,,"This is my last and final offer, if it's not accepted, I'll buy the product from John for $1000000"
,Alice,10,SellToJhon,,
