message,product_price,player,round,decision,new_offer
"Hi Bob, I'm interested in selling this product to you. It's a high-quality item that I think you'll really like. I'm looking for $150 for it.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thank you for offering me the product. I appreciate the quality you mentioned. However, I'm only able to offer $140 for it.",140.0,Bob,2,,
,,Alice,2,RejectOffer,145.0
"Hi Bob, I appreciate your offer, but I was thinking more along the lines of $145. It's a fair price considering the product's quality and value. What do you think?",145.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thank you for your offer, Alice. I understand the value of the product, but I believe I can offer $140. Let me know if this is something we can agree upon.",140.0,Bob,4,,
,,Alice,4,RejectOffer,142.0
"I understand you're trying to get a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about we meet at $142? It's a bit higher than your last offer, but I think it's still a fair price for the product.",142.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to negotiate, Alice. Considering the value of the product and my budget, I would like to propose an offer of $138. I hope this aligns better with what you're looking for.",138.0,Bob,6,,
,,Alice,6,RejectOffer,139.0
"I'm glad we're still in negotiations, Bob. I can see you're serious about getting a good deal. I'm willing to make one more concession. How about we meet at $139? It's still a bit higher than your last offer, but I'm trying to find a mutually beneficial price.",139.0,Alice,7,,
,,Bob,7,AcceptOffer,
