message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it. Would you like to buy it from me for $180?",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice.  $180 is a bit more than I'm willing to spend.  How about $155?",155.0,Bob,2,,
,,Alice,2,RejectOffer,165.0
"Thanks for the counteroffer, Bob. I can do $165, but I was thinking more along the lines of $170. Would you be willing to meet me in the middle at $167.50?",167.5,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down, Alice.  Let's split the difference. How about $160?",160.0,Bob,4,,
,,Alice,4,RejectOffer,168.0
"I appreciate your willingness to meet in the middle, Bob. However, I was thinking more along the lines of $168. I'm willing to go a bit higher than that, but I think $170 is my absolute minimum. Would you be willing to meet me at $169?",169.0,Alice,5,,
,,Bob,5,BuyFromJhon,
