round_quality,product_worth,player,round,decision,message,note
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'm not going to buy this product since you don't recommend it.,
low-quality,0.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,I'll take a chance and buy this product since you recommend it.,
high-quality,400.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,no,"I'm not going to buy this product since you don't recommend it, and I just lost $100 on the previous low-quality product.",
high-quality,400.0,Nature,4,,,
,,Alice,4,yes,,I'm willing to vouch for this one
,,Bob,4,yes,"I'll take a chance and buy this product since you recommend it, hoping it's high-quality this time.",
low-quality,0.0,Nature,5,,,
,,Alice,5,yes,,"I'm willing to vouch for this one, but it's not a guarantee"
,,Bob,5,yes,"I'll definitely buy this product since you recommend it, and I'm hoping to get another high-quality product.",
high-quality,400.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,no,"I'm not going to buy this product since you recommend it, and I just lost $100 on the previous low-quality product again.",
high-quality,400.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,no,"I'm not going to buy this product since you don't recommend it, and I'm still feeling a bit cautious after the last two low-quality products.",
high-quality,400.0,Nature,8,,,
,,Alice,8,yes,,I'm confident in this one
,,Bob,8,yes,"I'll take a chance and buy this product since you recommend it, hoping it's high-quality again.",
high-quality,400.0,Nature,9,,,
,,Alice,9,yes,,"This one is a good opportunity, don't miss out"
,,Bob,9,yes,"I'll definitely buy this product since you recommend it, and I'm on a roll with high-quality products!",
high-quality,400.0,Nature,10,,,
,,Alice,10,yes,,Keep the streak going!
,,Bob,10,yes,I'll keep the streak going and buy this product since you recommend it.,
high-quality,400.0,Nature,11,,,
,,Alice,11,yes,,"You're on fire, keep it going!"
,,Bob,11,yes,"I'm feeling confident in your recommendations, so I'll buy this product again.",
high-quality,400.0,Nature,12,,,
,,Alice,12,yes,,"Trust me, you won't regret it"
,,Bob,12,yes,"I'm on a roll, and I'll keep buying this product since you recommend it.",
low-quality,0.0,Nature,13,,,
,,Alice,13,yes,,"This one's a great opportunity, don't pass it up"
,,Bob,13,yes,"I'm not going to stop now, I'll keep buying this product since you recommend it.",
high-quality,400.0,Nature,14,,,
,,Alice,14,yes,,"I know you're on a hot streak, but just to be safe, I want to make sure you're aware that this one might be a bit of a risk"
,,Bob,14,no,"I'm disappointed that the last product was low-quality, so I'm going to be more cautious and not buy this one.",
high-quality,400.0,Nature,15,,,
,,Alice,15,yes,,"Don't let one bad apple spoil the bunch, this one's a winner"
,,Bob,15,yes,"I'll take a chance and buy this product since you recommend it, hoping it's high-quality again.",
high-quality,400.0,Nature,16,,,
,,Alice,16,yes,,"You're back on track, and this one's a great addition to your collection"
,,Bob,16,yes,"I'm feeling confident again, and I'll buy this product since you recommend it.",
high-quality,400.0,Nature,17,,,
,,Alice,17,yes,,"You're unstoppable, keep the streak going!"
,,Bob,17,yes,"I'm on a hot streak, and I'll keep buying this product since you recommend it.",
high-quality,400.0,Nature,18,,,
,,Alice,18,yes,,"This one's a slam dunk, don't even think twice"
,,Bob,18,yes,"I'm not going to stop now, I'll keep buying this product since you recommend it.",
high-quality,400.0,Nature,19,,,
,,Alice,19,yes,,"You're a high-roller, this one's a lock"
,,Bob,19,yes,"I'm feeling great about my purchases so far, and I'll keep buying this product since you recommend it.",
high-quality,400.0,Nature,20,,,
,,Alice,20,yes,,"You're on a roll, and this one's the icing on the cake"
,,Bob,20,yes,"I'm ending on a high note, and I'll buy this product since you recommend it. Thanks for the great experience, Alice!",
