message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $95.",95.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but that's a bit steep for me.  Would you consider $70?",70.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"I understand that $70 is a bit low for me, but I'm willing to meet you in the middle. I can offer it to you for $85.",85.0,Alice,3,,
,,Bob,3,RejectOffer,
I appreciate you coming down a bit.  How about we split the difference and do $77?,77.0,Bob,4,,
,,Alice,4,RejectOffer,87.0
"I'm not willing to go quite that low, but I'm willing to make a compromise. I can offer it to you for $87.50, which is a bit higher than your last offer, but still a good deal for you.",87.5,Alice,5,,
,,Bob,5,RejectOffer,
"This is getting a little too drawn out for me.  I'll offer you $80, my final offer, and if not, I'll go with another seller.",80.0,Bob,6,,
,,Alice,6,SellToJhon,
