message,product_price,player,round,decision,new_price
"Hello Bob, I have a great product that I think you'll love. I'm willing to offer it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for your offer but that price is a little high for me.  Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a good deal, Bob. I can see that you're willing to pay $100, but I need to make a profit. I'm willing to meet you in the middle at $140.",140.0,Alice,3,,
,,Bob,3,RejectOffer,
I appreciate you trying to meet in the middle Alice. How about we settle at $115?,115.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I appreciate your persistence, Bob. I'm willing to come down a bit more, but I still need to make a profit. I'm thinking $155 is a fair price, considering the value the product brings to you.",155.0,Alice,5,,
,,Bob,5,BuyFromJhon,
