alice_gain,bob_gain,message,player,round,decision
5000.0,5000.0,"Let's split it 50/50, no need for further negotiations",Alice,1,
,,,Bob,1,reject
4000.0,6000.0,"I'll give you a slightly better offer, but I still think I deserve more",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"I'm willing to give you a slightly larger share, but I'm not going to give away all the profit",Alice,3,
,,,Bob,3,reject
4800.0,5200.0,"I'm willing to compromise, but I think I deserve a bit more, considering the decreased value of my share",Bob,4,
,,,Alice,4,reject
6000.0,4000.0,"I'm willing to give you a smaller share, but I think this is a fair compromise",Alice,5,
,,,Bob,5,reject
5600.0,4400.0,"I'm not giving up yet, I think I can do better than this",Bob,6,
,,,Alice,6,reject
6500.0,3500.0,"I'm not budging much, but I'm willing to give you a slightly smaller share",Alice,7,
,,,Bob,7,reject
6200.0,3800.0,"I'm not going to give up, I'll keep trying to get a better deal",Bob,8,
,,,Alice,8,accept
