message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you a unique product that I think you'll love. I'm willing to start with a price of $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer.  I'm interested in the product, but $120 is a bit too high for my budget. Would you consider a lower price?",60.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"Thanks for the feedback, Bob. I understand you're looking for a better deal. I'm willing to meet you halfway, but I need to make a profit. I'm counteroffering at $90.",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down on the price, Alice.  How about we meet in the middle at $75? That's a fair deal for both of us.",75.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I appreciate your persistence, Bob. I'm willing to meet you halfway again, but I need to make a profit. I'm counteroffering at $85.",85.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm trying to be reasonable here. I can go up to $78, but that's my absolute limit.",78.0,Bob,6,,
,,Alice,6,RejectOffer,92.0
"I appreciate your willingness to negotiate, Bob. However, I'm still not willing to go below my minimum price. I'm counteroffering at $92.",92.0,Alice,7,,
,,Bob,7,BuyFromJhon,
