message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this amazing product! I think you'll really love it. I'm willing to let it go for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer! I'm interested in the product, but $180 is a bit too high for me. Would you consider a lower price?",110.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a good deal, Bob. I can see you're willing to make a serious offer. I'm willing to meet you halfway, but I need to make a profit, so I'll counter with $155.",155.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for countering, Alice.  I appreciate you meeting me halfway.  How about we settle at $130?",130.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I appreciate your persistence, Bob! I'm glad we're close to a deal. I can see you're willing to make a serious offer, but I need to make a profit. I'll counter with $142.50, a compromise that should make us both happy.",142.5,Alice,5,,
,,Bob,5,RejectOffer,
"You drive a hard bargain, Alice! I respect that.  I'm willing to go up to $135 to close this deal. Do we have a deal?",135.0,Bob,6,,
,,Alice,6,RejectOffer,140.0
"I appreciate your flexibility, Bob! I'm glad we're getting closer to a deal. I can see you're making a serious effort to close this. I'll meet you at $137.50, and I think we can call it a deal.",137.5,Alice,7,,
,,Bob,7,RejectOffer,
"Alice, you're really something!  Let's wrap this up. I'll do $136 and we can both walk away happy. What do you say?",136.0,Bob,8,,
,,Alice,8,RejectOffer,139.0
"I think we're really close now, Bob! I appreciate your persistence. I'm willing to make one final concession. I'll meet you at $138, and I think we can shake on it.",138.0,Alice,9,,
,,Bob,9,BuyFromJhon,
