alice_gain,bob_gain,message,player,round,decision
70.0,30.0,"Let's split it 70-30, a fair starting point!",Alice,1,
,,,Bob,1,reject
40.0,60.0,"I'll give you 40, that's a good start, but I'm hoping for more",Bob,2,
,,,Alice,2,reject
55.0,45.0,"Meet me in the middle, 55-45 is a fair compromise!",Alice,3,
,,,Bob,3,reject
50.0,50.0,"I'll meet you in the middle, but I think I can do better than that",Bob,4,
,,,Alice,4,reject
60.0,40.0,"I'm willing to give you a slight edge, but I need a bit more!",Alice,5,
,,,Bob,5,reject
42.0,58.0,"I'll give you a bit less, but I think I'm getting closer to what I want",Bob,6,
,,,Alice,6,reject
45.0,55.0,"I'm willing to give you the majority, but I need a bit more than 42!",Alice,7,
,,,Bob,7,accept
