product_price,player,round,decision,comment
175.0,Alice,1,,
,Bob,1,RejectOffer,
155.0,Bob,2,,
,Alice,2,RejectOffer,
165.0,Alice,3,,
,Bob,3,RejectOffer,
157.0,Bob,4,,
,Alice,4,RejectOffer,
160.0,Alice,5,,
,Bob,5,RejectOffer,
157.0,Bob,6,,"This is a great price, I'm willing to pay this much for the product. Please consider it."
,Alice,6,RejectOffer,
158.0,Alice,7,,
,Bob,7,RejectOffer,
157.0,Bob,8,,"I really like the product, but I have to stay within my budget. Can you meet me at this price?"
,Alice,8,RejectOffer,
156.0,Alice,9,,
,Bob,9,RejectOffer,
152.0,Bob,10,,
,Alice,10,AcceptOffer,
