message,product_price,player,round,decision,counteroffer
"I'm excited to offer you this incredible product! It's a one-of-a-kind opportunity to acquire a valuable item that I'm sure you'll love. I'm willing to start with a price of $9,000. What do you think?",9000.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate the offer, Alice, but $9,000 is a bit steep for me. I'm willing to pay $8,500 for the product. What do you think?",8500.0,Bob,2,,
,,Alice,2,RejectOffer,9200.0
"I understand that $8,500 is a bit below my target, but I'm willing to meet you halfway. I can offer it to you for $9,200. This is my best price, and I'm confident you'll find it a great deal.",9200.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $9,200 is still a bit more than I'm comfortable with. How about we settle on $8,800? It's a fair price for both of us, and we can finalize the deal.",8800.0,Bob,4,,
,,Alice,4,RejectOffer,9000.0
"I can see that you're close to making a decision, Bob. I'm willing to meet you at $8,900, but I'm not willing to go any lower. This is my final compromise. What do you think?",8900.0,Alice,5,,
,,Bob,5,AcceptOffer,
