alice_gain,bob_gain,message,player,round,decision
70.0,30.0,"Let's be fair, Bob. This offer leaves us both with a good amount.",Alice,1,
,,,Bob,1,reject
40.0,60.0,"I understand you want a larger share, Alice. But consider the impact of inflation on my end. This offer still gives you a significant amount.",Bob,2,
,,,Alice,2,reject
60.0,40.0,"Okay, Bob, let's find a middle ground. This offer reflects the time pressure and gives us both a decent share.",Alice,3,
,,,Bob,3,reject
45.0,55.0,"Alice, we're running out of time, and the value keeps decreasing for me. This is a serious offer, let's close the deal and both benefit.",Bob,4,
,,,Alice,4,reject
55.0,45.0,"Bob, this is a compromise. It acknowledges the time pressure and gives us both a reasonable share before inflation hurts you further.",Alice,5,
,,,Bob,5,accept
