message,product_price,player,round,decision,new_price
I'm excited to offer you this amazing product! I think you'll really love it.,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate your enthusiasm, but $150 is a bit more than I'm willing to pay. How about $110?",110.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you're looking for a good deal, but I have to make a profit. How about we meet in the middle at $130?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, but $130 is still too high for me.  I'm happy to pay $115.  Let's see if we can agree on that.",115.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I'm not willing to go as low as $115, but I'm willing to meet you in the middle of my previous offer and your new offer. How about we try $122.50?",122.5,Alice,5,,
,,Bob,5,BuyFromJhon,
