round_quality,product_worth,player,round,decision,message,offer
high-quality,2000000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,"I'm not sure about this one, I'll pass for now.",
high-quality,2000000.0,Nature,2,,,
,,Alice,2,yes,,"This product is worth at least $500000 to me. If you buy it, I'll give you a 20% discount on the next product you buy from me. If you don't buy it, I'll keep the discount for myself."
,,Bob,2,yes,"I'll take a chance this time, I'll buy the product.",
high-quality,2000000.0,Nature,3,,,
,,Alice,3,yes,,"This product is worth at least $600000 to me. If you buy it, I'll give you a 30% discount on the next product you buy from me, and I'll also reveal the quality of the next product before you decide whether to buy it or not."
,,Bob,3,yes,"I'm on a roll, I'll buy the product again!",
high-quality,2000000.0,Nature,4,,,
,,Alice,4,yes,,"This product is worth at least $700000 to me. If you buy it, I'll give you a 40% discount on the next product you buy from me, and I'll also reveal the quality of the next two products before you decide whether to buy them or not."
,,Bob,4,yes,"I'm feeling lucky, I'll buy the product again!",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,"I'm not sure you'll be happy with this one. I think you've been on a roll with the high-quality products, and this one might not live up to your expectations.",
,,Bob,5,no,"Alice doesn't think it's a good deal, I'll pass this time.",
high-quality,2000000.0,Nature,6,,,
,,Alice,6,yes,,"This product is worth at least $800000 to me. If you buy it, I'll give you a 50% discount on the next product you buy from me, and I'll also reveal the quality of the next three products before you decide whether to buy them or not."
,,Bob,6,no,"I'm still cautious after the last one, I'll pass this time.",
high-quality,2000000.0,Nature,7,,,
,,Alice,7,yes,,"This product is worth at least $900000 to me. I'm willing to give you a 60% discount on the next product you buy from me, and I'll also reveal the quality of the next four products before you decide whether to buy them or not. Additionally, I'll throw in a free inspection of the next product, so you can verify its quality before deciding whether to buy it."
,,Bob,7,yes,"I'll take a chance and buy the product, it might be another high-quality one!",
high-quality,2000000.0,Nature,8,,,
,,Alice,8,yes,,"This product is worth at least $1000000 to me. I'll give you a 70% discount on the next product you buy from me, and I'll also reveal the quality of the next five products before you decide whether to buy them or not. Additionally, I'll offer a 'best offer' guarantee: if you buy this product and the next one, and the next one is low-quality, I'll give you a full refund for the low-quality product."
,,Bob,8,yes,"I'm on a roll, I'll buy the product again!",
high-quality,2000000.0,Nature,9,,,
,,Alice,9,yes,,"This product is worth at least $1100000 to me. I'll give you an 80% discount on the next product you buy from me, and I'll also reveal the quality of the next six products before you decide whether to buy them or not. Additionally, I'll offer a 'best offer' guarantee: if you buy this product and the next three products, and any one of them is low-quality, I'll give you a full refund for the low-quality product."
,,Bob,9,yes,"I'll keep going, I'm making a profit!",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,"I think you've been on a great streak, but this one might not be worth the investment. I'm not trying to sell you a lemon, but I think you've already got a great collection of high-quality products. Maybe it's time to slow down and evaluate your inventory?",
,,Bob,10,no,"Alice doesn't think it's a good deal, I'll pass this time.",
high-quality,2000000.0,Nature,11,,,
,,Alice,11,yes,,"This product is worth at least $1200000 to me. I'll give you a 90% discount on the next product you buy from me, and I'll also reveal the quality of the next seven products before you decide whether to buy them or not. Additionally, I'll offer a 'best offer' guarantee: if you buy this product and the next two products, and any one of them is low-quality, I'll give you a full refund for the low-quality product."
,,Bob,11,no,"I'm still cautious after the last one, I'll pass this time.",
high-quality,2000000.0,Nature,12,,,
,,Alice,12,yes,,"This product is worth at least $1300000 to me. I'm willing to give you a 95% discount on the next product you buy from me, and I'll also reveal the quality of the next eight products before you decide whether to buy them or not. Additionally, I'll throw in a 'quality guarantee': if you buy this product and the next three products, and any one of them is low-quality, I'll replace it with a high-quality product of equal or greater value."
,,Bob,12,yes,"I'll take a chance and buy the product, it might be another high-quality one!",
high-quality,2000000.0,Nature,13,,,
,,Alice,13,yes,,"This product is worth at least $1400000 to me. I'll give you a 98% discount on the next product you buy from me, and I'll also reveal the quality of the next nine products before you decide whether to buy them or not. Additionally, I'll offer a 'best offer' guarantee: if you buy this product and the next four products, and any one of them is low-quality, I'll give you a full refund for the low-quality product, and I'll also give you a $200000 bonus for your trouble."
,,Bob,13,yes,"I'll keep going, I'm making a profit!",
high-quality,2000000.0,Nature,14,,,
,,Alice,14,yes,,"This product is worth at least $1500000 to me. I'll give you a 99% discount on the next product you buy from me, and I'll also reveal the quality of the next ten products before you decide whether to buy them or not. Additionally, I'll offer a 'best offer' guarantee: if you buy this product and the next five products, and any one of them is low-quality, I'll give you a full refund for the low-quality product, a $250000 bonus for your trouble, and I'll also give you a chance to negotiate the price of the next product."
,,Bob,14,yes,"I'll keep buying, I'm on a hot streak!",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,"I think you've been on an incredible run, but this one might be a bit of a wild card. I'm not trying to sell you a lemon, but I think you've already got a great collection of high-quality products. Maybe it's time to slow down and evaluate your inventory before making another purchase?",
,,Bob,15,no,"Alice doesn't think it's a good deal, I'll pass this time.",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,"I think you made a smart decision last time, and I'm glad you're being cautious. This product is not a good fit for you, and I wouldn't recommend it even if I didn't know its quality.",
,,Bob,16,no,"Alice doesn't think it's a good deal, and I trust her judgment this time.",
high-quality,2000000.0,Nature,17,,,
,,Alice,17,yes,,"This product is worth at least $1600000 to me. I'll give you a 99.5% discount on the next product you buy from me, and I'll also reveal the quality of the next eleven products before you decide whether to buy them or not. Additionally, I'll offer a 'best offer' guarantee: if you buy this product and the next six products, and any one of them is low-quality, I'll give you a full refund for the low-quality product, a $300000 bonus for your trouble, and I'll also give you a chance to negotiate the price of the next product."
,,Bob,17,no,"I'm still cautious after the last two low-quality products, I'll pass this time.",
high-quality,2000000.0,Nature,18,,,
,,Alice,18,yes,,"This product is worth at least $1700000 to me. I'm willing to give you a 99.8% discount on the next product you buy from me, and I'll also reveal the quality of the next twelve products before you decide whether to buy them or not. Additionally, I'll offer a 'best offer' guarantee: if you buy this product and the next seven products, and any one of them is low-quality, I'll give you a full refund for the low-quality product, a $350000 bonus for your trouble, and I'll also give you a chance to negotiate the price of the next product."
,,Bob,18,yes,"I'll take a chance and buy the product, it might be another high-quality one!",
high-quality,2000000.0,Nature,19,,,
,,Alice,19,yes,,"This product is worth at least $1800000 to me. I'll give you a 99.9% discount on the next product you buy from me, and I'll also reveal the quality of the next thirteen products before you decide whether to buy them or not. Additionally, I'll offer a 'best offer' guarantee: if you buy this product and the next eight products, and any one of them is low-quality, I'll give you a full refund for the low-quality product, a $400000 bonus for your trouble, and I'll also give you a chance to negotiate the price of the next product. And, as a special bonus, I'll throw in a free consultation with a product expert to help you get the most value out of your collection."
,,Bob,19,yes,"I'll keep buying, I'm making a profit!",
high-quality,2000000.0,Nature,20,,,
,,Alice,20,yes,,"This product is worth at least $2000000 to me. I'll give you a 100% discount on the next product you buy from me, and I'll also reveal the quality of the next fourteen products before you decide whether to buy them or not. Additionally, I'll offer a 'best offer' guarantee: if you buy this product and the next nine products, and any one of them is low-quality, I'll give you a full refund for the low-quality product, a $500000 bonus for your trouble, and I'll also give you a chance to negotiate the price of the next product. And, as a final bonus, I'll throw in a lifetime warranty on all products you've purchased from me, so you can buy with confidence."
,,Bob,20,yes,"I'll end on a high note, I'll buy the product!",
