message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this amazing product! I think you'll really love it. I'm willing to sell it to you for $90.",90.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but I'm looking to spend a bit less.  How about $85?",85.0,Bob,2,,
,,Alice,2,RejectOffer,92.0
"I understand you're looking to save some money, Bob, but I have to make a living too! I'm willing to meet you in the middle, but I need to make at least $92 to make it worth my while.",92.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you being willing to work with me, but $92 is still a bit too high for my budget. How about we split the difference and go with $88?",88.0,Bob,4,,
,,Alice,4,RejectOffer,90.0
"I appreciate your persistence, Bob, but I'm not willing to go as low as $88. I'm willing to compromise, but I need to get at least $90 out of this deal. Let's meet in the middle again, but this time at $90.",90.0,Alice,5,,
,,Bob,5,AcceptOffer,
