message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this great product at a special price. I'm willing to sell it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer, but that's a bit too high for me. Would you consider $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand that $80 is a bit low for me, but I'm willing to meet you in the middle. How about $140?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for coming down Alice, I appreciate that. Could you do $100? I think that's a fair offer.",100.0,Bob,4,,
,,Alice,4,RejectOffer,120.0
"I'm getting close to my minimum price, but I'm still not quite there. I can do $110, but that's as low as I can go.",110.0,Alice,5,,
,,Bob,5,BuyFromJhon,
