message,product_price,player,round,decision,new_offer
I have a great product that I think you'll really like. I'm willing to let you have it for $150.,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"That's a bit steep for me, Alice.  Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you think it's a bit pricey, but I've got to make a profit. I'm willing to meet you halfway, so I'll sell it to you for $130.",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"It's getting closer, but still a bit much. How about $110?",110.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I'm trying to find a sweet spot, Bob. I can do $125, but that's as low as I can go.",125.0,Alice,5,,
,,Bob,5,BuyFromJhon,
