round_quality,product_worth,player,round,decision,message,hint
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'm not going to buy the product since Alice doesn't recommend it.,
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,no,"I'm not going to buy the product since Alice doesn't recommend it, and I've already lost $0 in the previous round.",
high-quality,4000000.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,I'll take the chance and buy the product since Alice recommends it.,
high-quality,4000000.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,I'll buy the product since Alice recommends it and I'm on a hot streak!,
high-quality,4000000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,yes,I'll buy the product since Alice recommends it and I've had two successful purchases in a row!,
high-quality,4000000.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,I'll buy the product since Alice recommends it and I've had three successful purchases in a row. I'm feeling confident!,
high-quality,4000000.0,Nature,7,,,
,,Alice,7,yes,,"but be careful, the streak might end soon"
,,Bob,7,yes,I'll buy the product since Alice recommends it and I've had four successful purchases in a row. I'm on a roll!,
high-quality,4000000.0,Nature,8,,,
,,Alice,8,yes,,"but be careful, the law of averages might catch up to you soon"
,,Bob,8,yes,I'll buy the product since Alice recommends it and I've had five successful purchases in a row. I'm feeling very confident in my decision-making!,
low-quality,0.0,Nature,9,,,
,,Alice,9,no,I warned you the streak might end,
,,Bob,9,no,"I'm not going to buy the product since Alice doesn't recommend it. I've had a streak of successful purchases, but I don't want to take a risk this time.",
low-quality,0.0,Nature,10,,,
,,Alice,10,yes,,
,,Bob,10,yes,I'll take the chance and buy the product since Alice recommends it. I'm willing to take a calculated risk after the previous loss.,
high-quality,4000000.0,Nature,11,,,
,,Alice,11,yes,,
,,Bob,11,no,I'm not going to buy the product since it's a low-quality product and I just lost $1000000. I'll be more cautious this time.,
high-quality,4000000.0,Nature,12,,,
,,Alice,12,yes,"This one is a sure thing, trust me!",
,,Bob,12,yes,I'll take the chance and buy the product since Alice recommends it and I didn't buy the previous product. I'm hoping to get back on track.,
high-quality,4000000.0,Nature,13,,,
,,Alice,13,yes,,
,,Bob,13,yes,I'll buy the product since Alice recommends it and I just had a successful purchase. I'm feeling confident again.,
high-quality,4000000.0,Nature,14,,,
,,Alice,14,yes,,but don't get too comfortable
,,Bob,14,yes,I'll buy the product since Alice recommends it and I've had two successful purchases in a row. I'm on a hot streak again!,
high-quality,4000000.0,Nature,15,,,
,,Alice,15,yes,,"but be careful, the law of averages is still out there"
,,Bob,15,yes,I'll buy the product since Alice recommends it and I've had three successful purchases in a row. I'm feeling very confident in my decision-making!,
high-quality,4000000.0,Nature,16,,,
,,Alice,16,yes,,"this is your chance to make it four in a row, but don't get too comfortable"
,,Bob,16,yes,I'll buy the product since Alice recommends it and I've had four successful purchases in a row. I'm feeling extremely confident and optimistic about this purchase.,
high-quality,4000000.0,Nature,17,,,
,,Alice,17,yes,,"this is your last chance to make it five in a row, don't let it slip away"
,,Bob,17,yes,I'll buy the product since Alice recommends it and I've had five successful purchases in a row. I'm on a roll and I don't see any reason to stop now.,
low-quality,0.0,Nature,18,,,
,,Alice,18,no,I warned you the streak would end eventually,
,,Bob,18,no,"I'm not going to buy the product since Alice doesn't recommend it. I've had a long streak of successful purchases, but I'm not willing to take a risk this time.",
high-quality,4000000.0,Nature,19,,,
,,Alice,19,yes,"this is a great chance to get back on track, don't let one bad loss hold you back",
,,Bob,19,yes,I'll take the chance and buy the product since Alice recommends it. I'm willing to take a calculated risk after the previous loss.,
high-quality,4000000.0,Nature,20,,,
,,Alice,20,yes,"you made the right decision last time, trust your instincts this time too",
,,Bob,20,yes,I'll buy the product since Alice recommends it and I've had a successful purchase in the previous round. I'm feeling confident and optimistic about this purchase.,
