alice_gain,bob_gain,message,player,round,decision
55.0,45.0,Let's split fairly considering the inflation!,Alice,1,
,,,Bob,1,reject
45.0,55.0,My turn to propose a fair split considering the inflation.,Bob,2,
,,,Alice,2,reject
58.0,42.0,I'll take a bit more this time!,Alice,3,
,,,Bob,3,reject
42.0,58.0,How about we switch it up this round?,Bob,4,
,,,Alice,4,reject
60.0,40.0,I'll increase my share again since I lose more to inflation!,Alice,5,
,,,Bob,5,reject
40.0,60.0,"The inflation is hurting both of us, let's be reasonable.",Bob,6,
,,,Alice,6,reject
62.0,38.0,"I still lose more to inflation, so I'll take a bit more!",Alice,7,
,,,Bob,7,reject
38.0,62.0,"Time is running out, let's make a deal!",Bob,8,
,,,Alice,8,reject
65.0,35.0,"Inflation is killing me, need a bigger share!",Alice,9,
,,,Bob,9,reject
35.0,65.0,"Take it or leave it, Alice. We're running out of time!",Bob,10,
,,,Alice,10,reject
70.0,30.0,Last chance to make it worthwhile for me!,Alice,11,
,,,Bob,11,accept
