message,product_price,player,round,decision,newOffer
I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $180.,180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but that price is a bit too high for me. Would you consider $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a good deal, but I was thinking more along the lines of $160. I'm willing to meet you halfway, but I need to make a profit. Let me know if that's something you'd be interested in.",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice. How about we split the difference between your last offer and mine, say $110?",110.0,Bob,4,,
,,Alice,4,RejectOffer,140.0
"I'm glad we're getting closer, Bob! I can do $140, but I'm not sure I can go any lower than that. It's a great product, and I think it's worth more than that. Let me know if that's something you'd be willing to accept.",140.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, thanks for working with me.  It seems like we're hitting the upper limit of what I can spend.  Would you consider $120?  That's a firm offer, but I'd be ready to buy today at that price.",120.0,Bob,6,,
,,Alice,6,RejectOffer,145.0
"I appreciate your willingness to make a firm offer, Bob! I can do $145, but I'm getting close to my minimum price. I'd rather not sell it to you for less than that, but I'm willing to meet you in the middle one more time.",145.0,Alice,7,,
,,Bob,7,BuyFromJhon,
