alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's be fair, Bob. I take a bit more since I'm taking on the risk with inflation.",Alice,1,
,,,Bob,1,reject
4500.0,5500.0,I'll take a bit more since you're losing value with each round,Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"The inflation is hurting, Bob, but let's be reasonable. This is my counter-offer.",Alice,3,
,,,Bob,3,reject
4000.0,6000.0,"You're losing value fast, I think this is more than fair now",Bob,4,
,,,Alice,4,reject
5000.0,5000.0,"This is getting ridiculous, Bob. Let's just split it evenly and call it a day.",Alice,5,
,,,Bob,5,reject
3000.0,7000.0,"You're running out of time, inflation is killing your share. This is my best offer",Bob,6,
,,,Alice,6,accept
