message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you this amazing product! I think you'll love it. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for offering! That price is a bit too high for me, would you consider $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a better deal, Bob. I can do $110, but that's as low as I can go. It's a great product, and I think it's worth every penny!",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate that Alice, but I'm on a bit of a budget.  Would you be willing to meet me in the middle at $80?",80.0,Bob,4,,
,,Alice,4,RejectOffer,90.0
"I can see you're really interested in this product, Bob. I'm willing to meet you halfway, but I need to make a profit. How about $90?",90.0,Alice,5,,
,,Bob,5,AcceptOffer,
