message,product_price,player,round,decision,newOffer
"Hello Bob, I'm excited to offer you this great product! I think you'll really like it. I'm willing to sell it to you for $90.",90.0,Alice,1,,
,,Bob,1,RejectOffer,
"That's a good price, but I'm hoping to get it for a bit less. How about $85?",85.0,Bob,2,,
,,Alice,2,RejectOffer,92.0
"I understand you're looking to save a bit, but I'm not willing to go as low as $85. I'm willing to meet you halfway and sell it to you for $92.50",92.5,Alice,3,,
,,Bob,3,RejectOffer,
"Okay, I can do $90. That's my final offer.",90.0,Bob,4,,
,,Alice,4,RejectOffer,
"I appreciate your final offer, but I'm not quite ready to accept it. I'm willing to sell it to you for $92.50, which is still a great deal. If you're not willing to meet me at that price, I'll have to consider other options.",92.5,Alice,5,,
,,Bob,5,BuyFromJhon,
