message,product_price,player,round,decision,counteroffer
I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $150.,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate the offer, but $150 is a bit more than I'm willing to pay.  How about $110? It's a good price for both of us.",110.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand that $110 is a bit low for me, but I'm willing to meet you halfway. How about $130?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you meeting me halfway, but $130 is still a bit too high for me. I'm willing to go to $115. This would be a fair price for both of us.",115.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I'm getting close to my minimum price, but I'm still willing to negotiate. How about we meet at $125? It's a fair price for both of us.",125.0,Alice,5,,
,,Bob,5,BuyFromJhon,
