message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you this great product! I think you'll really love it. I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for offering!  That price is a bit high for me. Would you consider $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,100.0
"Thanks for your offer, Bob! I appreciate your honesty. However, I'm not willing to go as low as $80. I'm willing to meet you halfway at $110.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand, Alice.  How about $90? That's a fair compromise, don't you think?",90.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I appreciate your persistence, Bob! I'm willing to make one more concession. How about $105? It's a good compromise, and I think we can both be happy with this price.",105.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm glad we're getting closer.  I'm willing to go up to $95, but that's my absolute limit.",95.0,Bob,6,,
,,Alice,6,RejectOffer,98.0
"I appreciate your flexibility, Bob! I'm willing to meet you at $97.50, but that's as low as I'm willing to go.",97.5,Alice,7,,
,,Bob,7,BuyFromJhon,
