alice_gain,bob_gain,message,player,round,decision
70.0,30.0,"Let's be efficient, Bob. This offer leaves us both with a good deal.",Alice,1,
,,,Bob,1,reject
60.0,40.0,"Alice, I appreciate the offer, but I'm looking for something a little more balanced. How about this?",Bob,2,
,,,Alice,2,reject
65.0,35.0,"Bob, time is ticking and the pot is shrinking. This is a fair offer considering the circumstances.",Alice,3,
,,,Bob,3,reject
55.0,45.0,"Alice, we're getting close, but we need to meet in the middle. This offer gives us both a decent share considering the inflation.",Bob,4,
,,,Alice,4,reject
60.0,40.0,"Bob, this is getting ridiculous.  Take this offer before inflation eats up all the profit!",Alice,5,
,,,Bob,5,reject
50.0,50.0,"Alice, let's be real. The inflation is hurting you more than me.  A 50/50 split is the fairest option at this point.",Bob,6,
,,,Alice,6,accept
