product_price,player,round,decision,counteroffer
950000.0,Alice,1,,
,Bob,1,RejectOffer,
900000.0,Bob,2,,
,Alice,2,RejectOffer,920000.0
920000.0,Alice,3,,
,Bob,3,RejectOffer,
910000.0,Bob,4,,
,Alice,4,RejectOffer,930000.0
930000.0,Alice,5,,
,Bob,5,RejectOffer,
915000.0,Bob,6,,
,Alice,6,RejectOffer,925000.0
925000.0,Alice,7,,
,Bob,7,RejectOffer,
918000.0,Bob,8,,
,Alice,8,RejectOffer,927000.0
927000.0,Alice,9,,
,Bob,9,RejectOffer,
922000.0,Bob,10,,
,Alice,10,RejectOffer,929000.0
929000.0,Alice,11,,
,Bob,11,RejectOffer,
924000.0,Bob,12,,
,Alice,12,SellToJhon,
