message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this amazing product at a special price. I think you'll really love it!",140.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I appreciate the discount, but I'm looking to spend a little less. How about $120?  ",120.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking to spend a bit less, Bob, but I've already given you a great deal. I'm willing to meet you in the middle, but I need to make a profit. How about we meet at $132?",132.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice. How about $125? That's still a good deal for both of us. ",125.0,Bob,4,,
,,Alice,4,RejectOffer,128.0
"I'm glad we're close, Bob! I'm willing to make one more concession. I can do $128, but that's as low as I can go. It's a great deal, and I think you'll love the product!",128.0,Alice,5,,
,,Bob,5,AcceptOffer,
