message,product_price,player,round,decision,newOffer
"Hello Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer but that price seems a bit high. Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,"I appreciate your interest, Bob. I can do $125, but that's as low as I can go."
"I understand you're looking for a good deal, but I've already discounted the price from my initial offer. I can meet you in the middle at $137.50.",137.5,Alice,3,,
,,Bob,3,RejectOffer,
"It's getting closer, but $137.50 is still a bit much for me.  How about $115?",115.0,Bob,4,,
,,Alice,4,RejectOffer,"I'm not willing to go that low, Bob. I can do $130, but that's my final offer."
"I've thought about it, and I'm willing to meet you at $128. I'm not going any lower than that.",128.0,Alice,5,,
,,Bob,5,BuyFromJhon,
