message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it. I'm willing to sell it to you for $110.",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice.  I'm interested but I'm only able to pay $105 right now. Let me know what you think.",105.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"Thanks for your offer, Bob. I appreciate your interest in the product. However, I was thinking more along the lines of $115. Would you be willing to meet me there?",115.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I understand you need to make a profit, but $115 is still a bit high for me.  How about we split the difference and go with $110? I'm really serious about getting this product, so let's try to find a solution that works for both of us.",110.0,Bob,4,,
,,Alice,4,RejectOffer,112.5
"I appreciate your persistence, Bob! I'm willing to meet you halfway, but I think I can do a bit better than that. How about we meet at $112.50?",112.5,Alice,5,,
,,Bob,5,AcceptOffer,
