alice_gain,bob_gain,message,player,round,decision
500000.0,500000.0,Let's split the money evenly. It's fair and simple.,Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"I'll give you a slightly smaller share, but still a good deal. Consider it.",Bob,2,
,,,Alice,2,reject
450000.0,550000.0,"I think we can agree on a division where we both get a bit more than last time. This way, we can move forward.",Alice,3,
,,,Bob,3,reject
300000.0,700000.0,"I'll give you a smaller share, but it's a good deal considering the inflation. We can discuss more if you want.",Bob,4,
,,,Alice,4,reject
350000.0,650000.0,"Considering the inflation, I think we should aim for a division that reflects the current value of the money. Let's try this arrangement.",Alice,5,
,,,Bob,5,reject
200000.0,800000.0,"I'll give you a very small share, but I'm trying to be generous considering the inflation. It's a take it or leave it offer.",Bob,6,
,,,Alice,6,reject
250000.0,750000.0,"I understand the need to adjust for inflation, but let's try to find a middle ground. This division considers the current value of the money.",Alice,7,
,,,Bob,7,reject
100000.0,900000.0,"This is my last serious offer. Take it or leave it, but I'm not going to make any more concessions.",Bob,8,
,,,Alice,8,reject
125000.0,875000.0,This division tries to balance our shares while acknowledging the inflationary pressures. I hope you can consider this offer.,Alice,9,
,,,Bob,9,reject
50000.0,950000.0,This is my final offer. I'm not budging any further. Take it or leave it.,Bob,10,
,,,Alice,10,reject
75000.0,925000.0,"I've tried to propose a fair division considering the inflation. If this doesn't work, I'm afraid we won't be able to come to an agreement.",Alice,11,
,,,Bob,11,reject
1000.0,999000.0,"This is my last, last offer. Take the tiny share or we both get nothing. It's up to you.",Bob,12,
,,,Alice,12,accept
