message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a great product that I think you'll love. I'm willing to sell it to you for $150. Is this something you'd be interested in?",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for your offer, but $150 is a bit too high for me.  Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a good deal, but $100 is a bit too low for me. I'm willing to meet you in the middle at $130. What do you think?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for countering Alice.  I could go as high as $110, but that's my limit.",110.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I appreciate your flexibility, Bob, but $110 is still a bit low for me. I'm willing to meet you at $125. What do you think?",125.0,Alice,5,,
,,Bob,5,BuyFromJhon,
