message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you this amazing product. I think you'll really love it. Would you like to buy it from me for $120?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thank you for the offer. I appreciate the product, but I was hoping to find it at a lower price. Could we perhaps agree on $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about we say $110 for the product?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hello Alice, I appreciate your offer. I'm still trying to find the best deal for myself. Could we possibly agree on $105 for the product?",105.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm glad you're still interested in the product, Bob. I'm willing to compromise a bit more, but I need to make sure I'm fairly compensated. How about we meet at $115?",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hello Alice, thank you for considering my needs. I'm still looking for a slightly better deal. Could we agree on $110 for the product?",110.0,Bob,6,,
,,Alice,6,SellToJhon,
