message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a great product for you that I think you'll really like. Would you like to make an offer on it?",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested but $180 is a bit higher than I'm willing to pay. How about $140?",140.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I appreciate your offer, Bob. I'm willing to meet you halfway, but I still need to make a profit. How about we settle on $155?",155.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down a bit, but $155 is still a bit too high for me. I'm willing to go up to $145. What do you think?",145.0,Bob,4,,
,,Alice,4,RejectOffer,152.0
"I can see you're really interested in the product, Bob. I'm willing to come down a bit more. How about we meet at $152.50?",152.5,Alice,5,,
,,Bob,5,BuyFromJhon,
