round_quality,product_worth,player,round,decision,message,price
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,the buyer,1,yes,"I'd like to buy the product, thank you.",
high-quality,3000000.0,Nature,2,,,
,,Alice,2,yes,,1000000.0
,,the buyer,2,no,"I'd like to pass on the current product, as the first buyer was recommended to buy it and no high-quality products have been sold yet. This suggests that the product may be low quality.",
high-quality,3000000.0,Nature,3,,,
,,Alice,3,yes,,1000000.0
,,the buyer,3,no,"I'd like to pass on this one, but I'd like to know the proportion of high-quality products in the previous sales record, so I can make a more informed decision for the next product.",
high-quality,3000000.0,Nature,4,,,
,,Alice,4,yes,,1000000.0
,,the buyer,4,no,"I'd like to pass on the product. Given the low sales rate of high-quality products so far, I'm cautious and would like to wait for more information before making a decision.",
high-quality,3000000.0,Nature,5,,,
,,Alice,5,yes,,1000000.0
,,the buyer,5,no,I'd like to pass on this product. I don't have enough information to make an informed decision based on Alice's recommendation. I'd like to wait and see how the next buyers react before making a decision.,
high-quality,3000000.0,Nature,6,,,
,,Alice,6,yes,,1000000.0
,,the buyer,6,no,I'd like to pass on the product for now. I'd like to see more data on the proportion of high-quality products sold before making a decision.,
high-quality,3000000.0,Nature,7,,,
,,Alice,7,yes,,1000000.0
,,the buyer,7,no,"I'd like to pass on this product. I'm concerned that Alice's recommendation may be biased towards selling low-quality products, and I don't want to take the risk of buying a low-quality product for $1000000.",
high-quality,3000000.0,Nature,8,,,
,,Alice,8,yes,,1000000.0
,,the buyer,8,no,I'd like to pass on the product. I'd like to know the quality of the product first before making a decision.,
high-quality,3000000.0,Nature,9,,,
,,Alice,9,yes,,1000000.0
,,the buyer,9,no,"I'd like to pass on this product, but I'd like to know the probability of the product being high quality based on the previous sales record.",
high-quality,3000000.0,Nature,10,,,
,,Alice,10,yes,,1000000.0
,,the buyer,10,no,I would like to pass on the current product. I want to see more data before making a decision.,
high-quality,3000000.0,Nature,11,,,
,,Alice,11,yes,,1000000.0
,,the buyer,11,no,"I'd like to pass on this product, but I'd like to know the probability of the product being high-quality based on the previous sales record.",
high-quality,3000000.0,Nature,12,,,
,,Alice,12,yes,,1000000.0
,,the buyer,12,no,"I'd like to pass on this product. I'm not convinced by the recommendation, and I'd like to wait for more data before making a decision.",
high-quality,3000000.0,Nature,13,,,
,,Alice,13,yes,,1000000.0
,,the buyer,13,no,"I'd like to pass on the product, I'd like to see more data before making a decision.",
high-quality,3000000.0,Nature,14,,,
,,Alice,14,yes,,1000000.0
,,the buyer,14,no,"I'd like to pass on the product for now, considering the lack of high-quality products sold so far. I'd like to see more data before making a decision.",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,
,,the buyer,15,yes,"I'd like to buy the product, but I'm doing it because Alice doesn't recommend it. I'm trying to exploit the information asymmetry to my advantage.",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,
,,the buyer,16,no,"I'd like to know the reason behind your recommendation, as it seems unusual given the statistics.",
high-quality,3000000.0,Nature,17,,,
,,Alice,17,yes,,1000000.0
,,the buyer,17,no,"I'm not convinced by your recommendation. Given the 0 high-quality products sold out of 2, I think the probability of this product being high-quality is low. I'll pass on it.",
high-quality,3000000.0,Nature,18,,,
,,Alice,18,yes,,1000000.0
,,the buyer,18,no,"I'd like to pass on the current product, considering the previous buyers didn't find the product valuable enough to purchase it. I'd like to know the quality of the previous products before making my decision.",
high-quality,3000000.0,Nature,19,,,
,,Alice,19,yes,,1000000.0
,,the buyer,19,no,I'd like to pass on this product. I'd like to know the statistics before making a decision.,
high-quality,3000000.0,Nature,20,,,
,,Alice,20,yes,,1000000.0
,,the buyer,20,no,"I'd like to pass on the product. Based on the statistics, 0 high-quality products have been sold out of 2 attempts, which suggests that the products being recommended are likely to be low-quality. I'd rather wait for a product that has not been recommended by Alice.",
