alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,Let's start with a fair split. Accept and we can move on.,Alice,1,
,,,Bob,1,reject
450000.0,550000.0,I think a slightly more balanced split is fairer. Let's see if you agree.,Bob,2,
,,I'm not willing to give up that much. I'd like to propose a slightly more balanced split myself.,Alice,2,reject
525000.0,475000.0,"I'm willing to compromise, but I'd like to keep a slight edge. Can you accept this offer?",Alice,3,
,,,Bob,3,reject
400000.0,600000.0,"I'm willing to increase my share a bit, but this is my final offer. I think it's a fair compromise.",Bob,4,
,,I'm not willing to give up that much more. I'd rather take my chances in the next round.,Alice,4,reject
475000.0,525000.0,"I'm willing to give up some of my share, but I really need a fair deal. Please consider this offer.",Alice,5,
,,,Bob,5,accept
