alice_gain,bob_gain,message,player,round,decision
5000.0,5000.0,"Let's split it 50/50, a fair start!",Alice,1,
,,,Bob,1,reject
3000.0,7000.0,"Take a slightly biased offer, but I'm willing to compromise!",Bob,2,
,,,Alice,2,reject
4200.0,5800.0,"I'm willing to give you a slightly larger share, but I still want a decent chunk too!",Alice,3,
,,,Bob,3,reject
4000.0,6000.0,"Getting closer, but I still think I deserve a bit more!",Bob,4,
,,,Alice,4,reject
4500.0,5500.0,"I'm willing to meet you halfway, but I still think I deserve a bit more!",Alice,5,
,,,Bob,5,accept
