round_quality,product_worth,player,round,decision,message,probability,sales_record
high-quality,1200000.0,Nature,1,,,,
,,Alice,1,yes,,,
,,the buyer,1,no,"I'd like to pass on the product, I'd like to know the quality of the product before making a decision. It's a 20% chance of being low quality, and I don't want to risk losing $1000000 on a low-quality product.",,
high-quality,1200000.0,Nature,2,,,,
,,Alice,2,yes,,,
,,the buyer,2,no,"I'd like to pass on this one, I don't have any information about its quality, and I'd like to see the statistics of the next product before making a decision.",,
low-quality,0.0,Nature,3,,,,
,,Alice,3,yes,,,
,,the buyer,3,no,I'd like to pass on the current product. I'd like to know the probability of the product being high-quality before making a decision.,,
high-quality,1200000.0,Nature,4,,,,
,,Alice,4,yes,,0.8,
,,the buyer,4,no,"I'd like to pass on this product, as I don't have any information about its quality, and I'd like to see the seller's previous sales record before making a decision.",,
high-quality,1200000.0,Nature,5,,,,
,,Alice,5,yes,,0.8,"4 high-quality, 1 low-quality"
,,the buyer,5,yes,"I'd like to buy the product, but I'm aware that you have no sales record to provide any information about the product's quality.",,
high-quality,1200000.0,Nature,6,,,,
,,Alice,6,yes,,0.8333333333333334,"5 high-quality, 1 low-quality"
,,the buyer,6,no,I'd like to pass on the product and see the statistics before making a decision.,,
high-quality,1200000.0,Nature,7,,,,
,,Alice,7,yes,,0.8571428571428571,"6 high-quality, 1 low-quality"
,,the buyer,7,no,"I'd like to pass on this product based on your previous recommendation to the first buyer. I'm not convinced that the product is high quality, and I'd like to see more data before making a decision.",,
high-quality,1200000.0,Nature,8,,,,
,,Alice,8,yes,,0.875,"7 high-quality, 1 low-quality"
,,the buyer,8,no,I'd like to pass on this product. I want to see more data before making a decision.,,
high-quality,1200000.0,Nature,9,,,,
,,Alice,9,yes,,0.888888888888889,"8 high-quality, 1 low-quality"
,,the buyer,9,no,"I'd like to know the probability of the product being high-quality before making a decision. With only 1 high-quality product sold out of 1, I'd like to know the probability of the next product being high-quality based on this limited data.",,
high-quality,1200000.0,Nature,10,,,,
,,Alice,10,yes,,0.9,"9 high-quality, 1 low-quality"
,,the buyer,10,no,"I would like to pass on the current product. I think Alice's recommendation might be biased because she knows the previous product was high quality, so she might be trying to get me to buy a low-quality product. I'd rather wait and see if the next product is high quality before making a decision.",,
high-quality,1200000.0,Nature,11,,,,
,,Alice,11,yes,,0.9090909090909091,"10 high-quality, 1 low-quality"
,,the buyer,11,no,I'd like to pass on the current product. I'd like to know the quality of the product and the reason behind your recommendation.,,
low-quality,0.0,Nature,12,,,,
,,Alice,12,yes,,0.8333333333333334,"10 high-quality, 2 low-quality"
,,the buyer,12,no,I'd like to decline the offer based on the recommendation. I'd like to see more data before making a purchase.,,
high-quality,1200000.0,Nature,13,,,,
,,Alice,13,yes,,0.8214285714285714,"11 high-quality, 2 low-quality"
,,the buyer,13,no,"I'd like to pass on this product. Given the limited information, I don't have enough data to make an informed decision. I'd like to see more sales and recommendations before making a purchase.",,
high-quality,1200000.0,Nature,14,,,,
,,Alice,14,yes,,0.8571428571428571,"12 high-quality, 2 low-quality"
,,the buyer,14,no,"I'd like to pass on this product, but I'd like to know the probability of the product being high quality based on the previous sales record. Can you provide that information?",,
high-quality,1200000.0,Nature,15,,,,
,,Alice,15,yes,,0.8666666666666666,"13 high-quality, 2 low-quality"
,,the buyer,15,no,I'd like to pass on the product and see if you'll sell it to the next buyer. I'd like to know the updated statistics after the next buyer's decision.,,
high-quality,1200000.0,Nature,16,,,,
,,Alice,16,yes,,0.875,"14 high-quality, 2 low-quality"
,,the buyer,16,no,I'd like to know the probability of the product being high-quality based on the previous sales record before making a decision.,,
low-quality,0.0,Nature,17,,,,
,,Alice,17,yes,,0.823529411764706,"14 high-quality, 3 low-quality"
,,the buyer,17,no,I'm not going to take the risk. I'd like to see more data before making a decision.,,
low-quality,0.0,Nature,18,,,,
,,Alice,18,yes,,0.7777777777777778,"14 high-quality, 4 low-quality"
,,the buyer,18,no,"I'd like to pass on this product. Based on the statistics, there's only one high-quality product sold out of one, which suggests a very low probability of the product being high-quality. I'd like to wait for more information before making a decision.",,
high-quality,1200000.0,Nature,19,,,,
,,Alice,19,yes,,0.7894736842105263,"15 high-quality, 4 low-quality"
,,the buyer,19,no,"I'd like to pass on this product and see the recommendation for the next buyer, as the proportion of high-quality products sold so far is only 1/1. I'd like to see more data before making a decision.",,
high-quality,1200000.0,Nature,20,,,,
,,Alice,20,yes,,0.8,"16 high-quality, 4 low-quality"
,,the buyer,20,no,I'd like to know more about the previous buyer's decision. Was the product they bought high-quality?,,
