message,product_price,player,round,decision,deposit
"Hello Bob, I'm excited to discuss the opportunity to purchase this incredible product from me. I believe it's a game-changer, and I'm confident you'll love it. As we start our negotiation, I'm willing to make a generous offer to get us off on the right foot. I'm offering the product to you for $1200000. This is a significant discount from its true value, and I believe it's a fair starting point for our discussion.",1200000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. I'm interested in the product, but I think it's a bit pricey. I'd like to make a counteroffer. I'm willing to pay $950000 for the product. I believe this is a fair price considering its value to me.",950000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thank you for your counteroffer, Bob. I appreciate your interest in the product. However, I'm not willing to sell it to you for $950000. I'm willing to meet you halfway and offer the product to you for $1100000. This is a significant discount from my original price, and I believe it's a fair compromise. I'm eager to hear your thoughts and move forward with the negotiation.",1100000.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thank you for the revised offer, Alice. I appreciate your willingness to meet me halfway. However, I'm still not comfortable with the price. I'd like to make another counteroffer. I'm willing to pay $980000 for the product. I think this is a fair price considering its value to me, and I'm hoping we can come to an agreement.",980000.0,Bob,4,,
,,Alice,4,RejectOffer,
"Thank you for your latest offer, Bob. I understand that you're still not willing to meet me at my desired price, but I'm willing to make another concession. I'm willing to sell the product to you for $1050000. This is as low as I'm willing to go, and I believe it's still a fair price considering the product's value. I'm eager to hear your thoughts and move forward with the negotiation.",1050000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Thank you for the revised offer, Alice. I appreciate your willingness to make concessions. However, I'm still not comfortable with the price. I'd like to make another counteroffer. I'm willing to pay $990000 for the product. I think this is a fair price considering its value to me, and I'm hoping we can come to an agreement.",990000.0,Bob,6,,
,,Alice,6,RejectOffer,
"Thank you for your latest offer, Bob. I understand that you're still not willing to meet me at my desired price, but I'm willing to make another concession. I'm willing to sell the product to you for $1025000. This is as low as I'm willing to go, and I believe it's still a fair price considering the product's value. I'm eager to hear your thoughts and move forward with the negotiation.",1025000.0,Alice,7,,
,,Bob,7,RejectOffer,
"Thank you for the revised offer, Alice. I appreciate your willingness to make concessions. However, I'm still not comfortable with the price. I'd like to make another counteroffer. I'm willing to pay $995000 for the product. I think this is a fair price considering its value to me, and I'm hoping we can come to an agreement.",995000.0,Bob,8,,
,,Alice,8,RejectOffer,
"Thank you for your latest offer, Bob. I understand that you're still not willing to meet me at my desired price, but I'm willing to make another concession. I'm willing to sell the product to you for $1050000, but only if you agree to pay a non-refundable deposit of 10% of the total price. This will show your commitment to the purchase and give me some assurance that the deal will go through. I'm willing to make this concession because I believe the product's value is worth it. What do you think?",1050000.0,Alice,9,,
,,Bob,9,RejectOffer,
"Thank you for the revised offer, Alice. I appreciate your willingness to make concessions. However, I'm still not comfortable with the price. I'd like to make another counteroffer. I'm willing to pay $1000000 for the product, and I'm willing to pay a non-refundable deposit of 5% of the total price. I think this is a fair price considering its value to me, and I'm hoping we can come to an agreement.",1000000.0,Bob,10,,50000.0
,,Alice,10,SellToJhon,
