message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this great product. I think you'll really like it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested in the product but $120 is a bit too high for me. Would you consider a lower price?",85.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"I understand you're looking for a better deal, Bob. I can do a bit better than that. Would you be willing to meet me at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice.  How about we split the difference, would $100 work for you?",100.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I like your thinking, Bob, but I was thinking more like $105. I'm willing to meet you halfway, but I need to make a profit on this sale.",105.0,Alice,5,,
,,Bob,5,AcceptOffer,
