message,product_price,player,round,decision,new_offer
"I have a great product that I think you'll love, and I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm really interested in the product, but $120 is a bit steep for me. I'm willing to pay $90 for it.",90.0,Bob,2,,
,,Alice,2,RejectOffer,"I understand that $90 is a bit low for me, but I'm willing to meet you in the middle at $110."
"I'm glad we're close on the price, but I need to make a profit. I can do $105 for the product.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still interested in the product, but I can only go up to $92. Can you meet me at that price?",92.0,Bob,4,,
,,Alice,4,RejectOffer,"I can do $98 for the product, but that's as low as I'm willing to go."
"I'm getting close to my minimum price, but I'm still willing to negotiate. I can meet you at $95 for the product.",95.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm really close to my budget, but I can only go up to $90. Can you meet me at that price?",90.0,Bob,6,,
,,Alice,6,RejectOffer,"I've already made a lower offer than that, and I'm not willing to go back to $90. I'm going to sell the product to John for $80."
"I'm not willing to go back to $90, but I can meet you at $94 for the product.",94.0,Alice,7,,
,,Bob,7,BuyFromJhon,
